"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2022","30,995.0","33,038.0","33,038.0","30,995.0","9.23M","-6.92%"
"04/15/2022","33,299.0","35,472.0","35,516.0","33,299.0","6.44M","-6.13%"
"04/14/2022","35,472.0","36,516.0","36,777.0","35,472.0","2.79M","-2.74%"
"04/13/2022","36,472.0","35,820.0","36,472.0","34,777.0","3.61M","2.32%"
"04/12/2022","35,646.0","37,124.0","37,559.0","35,646.0","4.48M","-3.87%"
"04/08/2022","37,081.0","37,907.0","37,950.0","37,037.0","3.97M","-2.18%"
"04/07/2022","37,907.0","38,820.0","38,994.0","37,820.0","3.43M","-2.24%"
"04/06/2022","38,776.0","38,472.0","39,559.0","38,472.0","6.45M","0.00%"
"04/05/2022","38,776.0","38,168.0","39,385.0","38,168.0","6.95M","1.94%"
"04/04/2022","38,037.0","38,124.0","38,689.0","37,820.0","3.58M","1.16%"
"04/01/2022","37,602.0","37,211.0","37,907.0","36,863.0","2.85M","0.58%"
"03/31/2022","37,385.0","37,646.0","37,994.0","37,385.0","2.26M","-0.12%"
"03/30/2022","37,429.0","37,429.0","38,342.0","37,342.0","5.22M","-1.26%"
"03/29/2022","37,907.0","38,081.0","38,385.0","37,820.0","3.29M","0.46%"
"03/28/2022","37,733.0","38,428.0","38,820.0","37,385.0","6.15M","-3.12%"
"03/25/2022","38,950.0","38,907.0","39,733.0","38,733.0","4.75M","0.33%"
"03/24/2022","38,820.0","38,602.0","39,472.0","38,559.0","4.25M","0.00%"
"03/23/2022","38,820.0","39,559.0","39,906.0","38,820.0","4.18M","-1.22%"
"03/22/2022","39,298.0","38,776.0","40,167.0","38,602.0","12.01M","2.26%"
"03/21/2022","38,428.0","38,255.0","38,733.0","38,168.0","5.12M","0.45%"
"03/18/2022","38,255.0","38,255.0","38,776.0","37,907.0","5.62M","-0.11%"
"03/17/2022","38,298.0","37,907.0","38,776.0","37,907.0","4.27M","1.03%"
"03/16/2022","37,907.0","38,255.0","38,255.0","37,907.0","2.61M","0.35%"
"03/15/2022","37,776.0","37,385.0","38,472.0","36,777.0","5.47M","2.96%"
"03/14/2022","36,690.0","37,646.0","37,646.0","36,516.0","3.85M","-2.09%"
"03/11/2022","37,472.0","37,298.0","38,472.0","37,298.0","4.53M","-0.35%"
